name,day,diet_type,meal,protein_g,carbs_g,fat_g,fiber_g,usda_source,calories,image
Veg biryani + onion raita,TUESDAY,non-veg,Lunch,10,68,9,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Methi Dal + Mixed vegetable kadai,TUESDAY,non-veg,Lunch,10,25,7,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
White Rice + Sambar + Udupi Tomato Rasam + Curd,TUESDAY,non-veg,Lunch,11,68,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),380,
Parupu Podi + Ghee + Thorvaiyal + Pickle,TUESDAY,non-veg,Lunch,4,9,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),120,
muskmelon + papad + Lemon mint juice,TUESDAY,non-veg,Lunch,3,20,2,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),110,
Masala peanut / Veg Puff (even weeks) + Tea/Coffee/Milk,TUESDAY,non-veg,Snacks,6,24,10,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Masala Dosa + Chutney + Sambar,TUESDAY,non-veg,Dinner,8,56,9,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),340,
White rice + Rasam + Pickle,TUESDAY,non-veg,Dinner,5,56,2,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),270,
Milk,TUESDAY,non-veg,Dinner,3,5,3,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Salad (Cucumber + Carrot),TUESDAY,non-veg,Dinner,1,7,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),35,
Butter milk,TUESDAY,non-veg,Dinner,2,5,1,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),40,
Puri + Aaloo masala,WEDNESDAY,non-veg,Breakfast,8,56,15,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Rawa Khichdi + Chutney,WEDNESDAY,non-veg,Breakfast,6,35,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),215,
Bread + Butter + Jam,WEDNESDAY,non-veg,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Vegetable Vermicelli upma + coconut chutney,MONDAY,non-veg,Breakfast,5,35,7,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Palak Paneer,WEDNESDAY,non-veg,Lunch,22,12,24,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
Chapati (2 pieces),WEDNESDAY,non-veg,Lunch,7,44,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),240,
White Rice + Arachivitta sambar + Broad beans poriyal + Milagu Rasam,WEDNESDAY,non-veg,Lunch,13,75,7,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),430,
Parupu Podi + Ghee + Thovaiyal + Pickle,WEDNESDAY,non-veg,Lunch,4,9,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),120,
Mixed fruit + Butter milk + Lemon mint juice,WEDNESDAY,non-veg,Lunch,3,26,2,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),130,
Pasta (red / white) Tea/Coffee/Milk,WEDNESDAY,non-veg,Snacks,10,52,9,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),320,
White chana masala + Vegetable biryani,WEDNESDAY,non-veg,Dinner,15,72,10,9,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),440,
Idly + Sambar + Chutney,WEDNESDAY,non-veg,Dinner,6,38,2,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Rasam + Curd + Sweet,WEDNESDAY,non-veg,Dinner,5,24,3,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),140,
Salad (Beetroot + carrot + cucumber) + strawberry milk,WEDNESDAY,non-veg,Dinner,4,22,3,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),125,
Idli + Vadacurry + Ground nut Chutney,THURSDAY,non-veg,Breakfast,10,46,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),290,
Pav vaji + chopped onion,THURSDAY,non-veg,Breakfast,9,58,11,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),370,
Bread + Butter + Jam,THURSDAY,non-veg,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Tea/Coffee/Milk,THURSDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Bisibelabath + potato chips,THURSDAY,non-veg,Lunch,12,66,12,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),410,
White Rice + dhal fry + Raw banana Poriyal + Pineapple Rasam + Curd,THURSDAY,non-veg,Lunch,12,78,6,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),440,
Parupu Podi + Gingelly Oil,THURSDAY,non-veg,Lunch,4,8,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Thovaiyal + Pickle + Lemon mint juice,THURSDAY,non-veg,Lunch,2,8,3,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),70,
Fruit Salad (black grapes + Pineapple),THURSDAY,non-veg,Lunch,1,22,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Masala sweet corn + Tea/Coffee/Milk,THURSDAY,non-veg,Snacks,4,25,4,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),140,
Soya chunk gravy + Phulka,THURSDAY,non-veg,Dinner,24,44,8,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
White rice + Dal fry + Sambar + Mixed Vegetable porial + Rasam + Pickle,THURSDAY,non-veg,Dinner,14,78,7,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),450,
Salad (Cucumber + Carrot),THURSDAY,non-veg,Dinner,1,7,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),35,
Milk + buttermilk,THURSDAY,non-veg,Dinner,5,9,3,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
cold badam milk (only veg),THURSDAY,non-veg,Dinner,6,22,8,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Dosa + Samber + Tomato Chutney,FRIDAY,non-veg,Breakfast,7,52,7,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),300,
Semiya khidi,FRIDAY,non-veg,Breakfast,5,34,5,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Podi oil,FRIDAY,non-veg,Breakfast,3,6,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Wheat Bread + Butter + Jam + Tea/Coffee/Milk,FRIDAY,non-veg,Breakfast,8,46,11,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),310,
White Rice + Potato Bhindi dry + Moong Dal Rasam + mint Buttermilk,FRIDAY,non-veg,Lunch,10,72,7,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),400,
Parupu Podi + Ghee + Thovaiyal + Pickle + banana,FRIDAY,non-veg,Lunch,5,32,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Butter biscuit (2 nos.) + Tea/Coffee/Milk,FRIDAY,non-veg,Snacks,3,24,8,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),175,
Rajma curry + Chapati,FRIDAY,non-veg,Dinner,17,60,8,10,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Chapati (2 pieces) + Paneer tikka masala (semi dry) + Andhra pappu,FRIDAY,non-veg,Lunch,30,52,20,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),520,
Dal tadka,FRIDAY,non-veg,Dinner,9,22,4,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),150,
White rice + Carrot Poriyal + Rasam + Curd + Pickle,FRIDAY,non-veg,Dinner,8,66,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
Sweet + Salad + Rose milkshake (only veg),FRIDAY,non-veg,Dinner,6,46,9,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),290,
Rawa idly + Kara chutney + sambar,SATURDAY,non-veg,Breakfast,7,42,5,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Potato onion poha,SATURDAY,non-veg,Breakfast,5,38,5,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Wheat Bread + Butter + Jam,SATURDAY,non-veg,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Tea/Coffee/Milk,SATURDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Chapati (2 pieces) + Vegetable Kadhai,SATURDAY,non-veg,Lunch,10,52,9,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),330,
White Rice + Vathakuzhambu + Milagu rasam + Curd + Keerai Porial,SATURDAY,non-veg,Lunch,10,74,7,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),410,
Parupu Podi + Gingelly Oil + Thovaiyal + Fryams + Pickle,SATURDAY,non-veg,Lunch,4,10,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),125,
Papaya + Lemon Mint Juice,SATURDAY,non-veg,Lunch,1,18,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),80,
Pani puri + Tea/Coffee/Milk,SATURDAY,non-veg,Snacks,5,34,7,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
phulka + cabbage green peas masala fry,SATURDAY,non-veg,Dinner,19,52,15,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),420,
White rice + Kadhi pakoda curry + Rasam + curd + Sweet,SATURDAY,non-veg,Dinner,12,76,11,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),450,
pickle + Salad + Milk + buttermilk,SATURDAY,non-veg,Dinner,4,12,3,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Pav bhaji,SUNDAY,non-veg,Breakfast,10,58,12,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),380,
Millet Pongal + sambar + chutney,SUNDAY,non-veg,Breakfast,9,44,6,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),260,
Bread + Butter + Jam,SUNDAY,non-veg,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Tea/Coffee/Milk,SUNDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
white rice + Mysore rasam + curd rice + pickle,SUNDAY,non-veg,Lunch,9,68,4,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),360,
Mixed fruits + Lemon mint juice,SUNDAY,non-veg,Lunch,1,26,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),110,
Milkpayasam,SUNDAY,non-veg,Lunch,6,38,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Boiled Chana chat (along with chopped onions) + Tea/Coffee/Milk,SUNDAY,non-veg,Snacks,9,28,4,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),185,
Mixed vegetable poriyal,SUNDAY,non-veg,Dinner,3,14,4,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Milk + buttermilk,SUNDAY,non-veg,Dinner,8,12,8,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),150,
White rice + dal makhani + rasam,SUNDAY,non-veg,Dinner,9,13,6,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Idly + Chutney + Sambar,SUNDAY,non-veg,Dinner,6,38,2,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Dum Paneer (sufficient paneer) biryani + Gobi and aloo masala + onion raita + brinjal gravy,SUNDAY,non-veg,Lunch,30,68,20,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),580,
