name,day,diet_type,meal,protein_g,carbs_g,fat_g,fiber_g,usda_source,calories,image
Fruit Salad (black grapes + Pineapple),THURSDAY,vegetarian,Lunch,1,22,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Masala sweet corn + Tea/Coffee/Milk,THURSDAY,vegetarian,Snacks,4,25,4,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),140,
Soya chunk gravy + Phulka,THURSDAY,vegetarian,Dinner,24,44,8,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
White rice + Dal fry + Sambar + Mixed Vegetable porial + Rasam + Pickle,THURSDAY,vegetarian,Dinner,14,78,7,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),450,
Salad (Cucumber + Carrot),THURSDAY,vegetarian,Dinner,1,7,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),35,
Milk + buttermilk,THURSDAY,vegetarian,Dinner,5,9,3,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
cold badam milk (only veg),THURSDAY,vegetarian,Dinner,6,22,8,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Dosa + Samber + Tomato Chutney,FRIDAY,vegetarian,Breakfast,7,52,7,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),300,
Semiya khidi,FRIDAY,vegetarian,Breakfast,5,34,5,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Podi oil,FRIDAY,vegetarian,Breakfast,3,6,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Wheat Bread + Butter + Jam + Tea/Coffee/Milk,FRIDAY,vegetarian,Breakfast,8,46,11,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),310,
White Rice + Potato Bhindi dry + Moong Dal Rasam + mint Buttermilk,FRIDAY,vegetarian,Lunch,10,72,7,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),400,
Parupu Podi + Ghee + Thovaiyal + Pickle + banana,FRIDAY,vegetarian,Lunch,5,32,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Butter biscuit (2 nos.) + Tea/Coffee/Milk,FRIDAY,vegetarian,Snacks,3,24,8,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),175,
Rajma curry + Chapati,FRIDAY,vegetarian,Dinner,17,60,8,10,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Chapati (2 pieces) + Paneer tikka masala (semi dry) + Andhra pappu,FRIDAY,vegetarian,Lunch,30,52,20,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),520,
Dal tadka,FRIDAY,vegetarian,Dinner,9,22,4,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),150,
White rice + Carrot Poriyal + Rasam + Curd + Pickle,FRIDAY,vegetarian,Dinner,8,66,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
Sweet + Salad + Rose milkshake (only veg),FRIDAY,vegetarian,Dinner,6,46,9,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),290,
Rawa idly + Kara chutney + sambar,SATURDAY,vegetarian,Breakfast,7,42,5,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Potato onion poha,SATURDAY,vegetarian,Breakfast,5,38,5,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Wheat Bread + Butter + Jam,SATURDAY,vegetarian,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Tea/Coffee/Milk,SATURDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Chapati (2 pieces) + Vegetable Kadhai,SATURDAY,vegetarian,Lunch,10,52,9,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),330,
White Rice + Vathakuzhambu + Milagu rasam + Curd + Keerai Porial,SATURDAY,vegetarian,Lunch,10,74,7,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),410,
Parupu Podi + Gingelly Oil + Thovaiyal + Fryams + Pickle,SATURDAY,vegetarian,Lunch,4,10,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),125,
Papaya + Lemon Mint Juice,SATURDAY,vegetarian,Lunch,1,18,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),80,
Pani puri + Tea/Coffee/Milk,SATURDAY,vegetarian,Snacks,5,34,7,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
phulka + cabbage green peas masala fry,SATURDAY,vegetarian,Dinner,19,52,15,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),420,
White rice + Kadhi pakoda curry + Rasam + curd + Sweet,SATURDAY,vegetarian,Dinner,12,76,11,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),450,
pickle + Salad + Milk + buttermilk,SATURDAY,vegetarian,Dinner,4,12,3,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),90,
Pav bhaji,SUNDAY,vegetarian,Breakfast,10,58,12,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),380,
Millet Pongal + sambar + chutney,SUNDAY,vegetarian,Breakfast,9,44,6,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),260,
Bread + Butter + Jam,SUNDAY,vegetarian,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Tea/Coffee/Milk,SUNDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
white rice + Mysore rasam + curd rice + pickle,SUNDAY,vegetarian,Lunch,9,68,4,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),360,
Mixed fruits + Lemon mint juice,SUNDAY,vegetarian,Lunch,1,26,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),110,
Milkpayasam,SUNDAY,vegetarian,Lunch,6,38,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Boiled Chana chat (along with chopped onions) + Tea/Coffee/Milk,SUNDAY,vegetarian,Snacks,9,28,4,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),185,
White rice + dal makhani + rasam,SUNDAY,special,Dinner,9,13,6,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Milk + buttermilk,SUNDAY,special,Dinner,8,12,8,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),150,
Mixed vegetable poriyal,SUNDAY,vegetarian,Dinner,3,14,4,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Idly + Chutney + Sambar,SUNDAY,vegetarian,Dinner,6,38,2,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Dum Paneer (sufficient paneer) biryani + Gobi and aloo masala + onion raita + brinjal gravy,SUNDAY,vegetarian,Lunch,30,68,20,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),580,
